id,type,size,label
9,cluster,94,"interiorinspo,interiors,homedesign,interiorinspiration,decora,homedecor,blueandwhite,gardendesign,tablesetting,interior,interiorstyle,interiordetails,interiordesigner,homestyling,beautyguru,decor,interiorsinspo,interiordecor,bedroomdecor,decoration,tableware,vogueitalia,voguemagazine,vogueparis,antiques,pillows,tablescape,tabletop,interiorstyling,styleinspiration,elledecor,beautylover,homestyle,interiorismo,interiores,interiorideas,interiordecorator,interiordesigners,decoracao,decoracion,diningroomdecor,gardenflowers,decorative,harpersbazaar,beautygram,beautytips,decorate,bedroomdesign,homeinspo,homeinspiration,vogueaustralia,voguebrasil,housebeautiful,decorationideas,vogueusa,vogueuk,homeinterior,decorideas,blueandwhiteforever,topiary,styletips,curtains,decorativepillows,traditionalhome,styleicon,decorator,countrystyle,gardenstyle,tabledecor,diningroom,interiordesigns,interiorstylist,decoratingideas,decorated,decoraci,decorating,blueandwhitedecor,homedecoration,decorations,tablescapes,gardendecor,decorando,decorinspo,lampshades,hellomagazine,interiorsdesign,fashioninspo,homeideas,lampshade,decorazioni,decorazione,lamps,beautyaddict,styleaddict"
0,cluster,370,"colour,sunday,friday,weekend,coffee,monday,texture,red,moon,timeless,relax,flowers,white,holiday,easter,autumn,relaxing,green,sunset,seaside"
10,cluster,18,"europa,fashionstylist,voyage,traveling,palace,travelphotography,argentina,aloha,tiamo,eurotrip,europe,seattle,parisjetaime,pnw,italiana,washington,abroad,viaje"
16,cluster,21,"socialmedia,digital,branding,development,digitalmarketing,strategy,ecommerce,analytics,brand,influence,pr,socialmediamarketing,marketing,connecting,reputation,networking,loyalty,awareness,google,advertising,ambition"
8,cluster,7,"wool,modern,fairtrade,rug,moderndesign,designlife,telaviv"
1,cluster,23,"sydney,keychain,australia,streetstyle,bali,fashiondaily,mochila,manila,moscow,seoul,berlin,fashionaddict,streetstyleluxe,stylediaries,fashiondiaries,munich,santamonica,instablogger,itbag,philippines,verao2017,wayuubag,medellin"
2,cluster,39,"turquoise,earrings,necklace,jewellery,accessories,pendant,bracelets,silver,gift,sparkle,gold,jewelry,ring,shop,diamond,jewelrydesigner,goldplated,dressedup,bridal,shoppingaddict,rings,diamonds,antique,losangeles,hollywood,bride,shoppingtime,beverlyhills,bracelet,jewelrydesign,jewelryoftheday,evileye,armcandy,boutiques,promo,platinum,engagementring,instajewelry,antoniakarra"
17,cluster,11,"mensstyle,preppy,suit,mensfashion,menswear,menstyle,dapper,gentleman,menwithclass,sprezzatura,dandy"
14,cluster,24,"liguria,sicily,luxurytravel,beautifulhotels,villa,portofino,islands,privatetour,travelitaly,travelinstyle,taormina,belmondpostcards,travelandleisure,condenast,veneto,vip,bespoketravel,forbes,italianluxury,southernitaly,italianalluretravel,privatetours,viptravel,robbreport"
6,cluster,13,"photoshoot,photography,fashionshoot,lovemyjob,photo,photographer,l4l,instafollow,photograph,iphone7,producers,photomafia,producer"
5,cluster,12,"handbag,clutch,purse,bag,handbags,newstyle,women,trend,catwalk,fashionshow,influencer,instabag"
4,cluster,28,"lifestyleblogger,orangecounty,livemusic,followers,instacool,bestoftheday,pictureoftheday,california,palmsprings,cars,yachts,desert,instafun,newportbeach,bestofthebest,classiccars,lasvegas,sonomacounty,searanch,monterey,lovethisguy,visualmerchandising,californiacoast,palmdesert,carshow,caliliving,bestofday,carsofinstagram"
12,cluster,23,"amore,toscana,yoga,cake,bridge,goodlife,firenze,italiansdoitbetter,instadesign,malibu,primavera,vegan,meditation,traveldiary,yogajournal,yogaretreat,yogaeveryday,fiesole,mindfulness,expatlife,expat,yogaeverywhere,yourflorence"
3,cluster,16,"positano,amalficoast,capri,ravello,amalfi,sorrento,sorrentocoast,costieraamalfitana,costiera,praiano,atrani,maiori,salerno,amalfitana,villatreville,casaangelina"
18,cluster,8,"visitgreece,luxuryresort,crete,luxuryhotels,hotels,boutiquehotels,hotellife,costanavarino"
