n_cluster	n_users	consumers_list
1	16	('rawcontent', 0.5), ('magalyopice', 0.375), ('libbyblakey', 0.11764705882352941), ('tuttobelloamore', 0.11764705882352941), ('alexisdeaville', 0.08333333333333333), ('designer_theory', 0.07692307692307693), ('sonjabonk', 0.058823529411764705), ('bygloriagonzalez', 0.058823529411764705), ('theodorahome', 0.058823529411764705), ('evybandeca', 0.058823529411764705), ('laughlandjones', 0.058823529411764705), ('kirstyhchow', 0.058823529411764705), ('erikageara', 0.058823529411764705), ('brownlowinteriordesign', 0.058823529411764705), ('kwslippers', 0.058823529411764705), ('bo_chirathivat', 0.058823529411764705)
2	13	('ashcebulka', 0.35294117647058826), ('aurotempus', 0.1), ('mycatsugus', 0.09090909090909091), ('manu.aeiou', 0.06666666666666667), ('fernandafranco.artwork', 0.058823529411764705), ('crazycatlady_oslo', 0.058823529411764705), ('allie_clay', 0.058823529411764705), ('sissibiz', 0.058823529411764705), ('sharainicholson', 0.058823529411764705), ('amandasmiller1', 0.058823529411764705), ('ladyfoxmags', 0.058823529411764705), ('spenny_g', 0.058823529411764705), ('librarygirlpresents', 0.058823529411764705)
3	13	('melrosexclusive', 0.058823529411764705), ('manak419', 0.058823529411764705), ('buy.followers.65', 0.058823529411764705), ('sharainicholson', 0.058823529411764705), ('nadiakovy', 0.058823529411764705), ('_rachelanthony', 0.058823529411764705), ('orihip._.juju', 0.058823529411764705), ('augusta__', 0.058823529411764705), ('riadlej', 0.058823529411764705), ('apollinerisser', 0.058823529411764705), ('mazjoseph', 0.058823529411764705), ('grayandco', 0.058823529411764705), ('andybritanny', 0.058823529411764705)
5	1	('grantbriskinphl', 0.1)
6	8	('njcubangirl', 0.11764705882352941), ('wandpdesign', 0.09090909090909091), ('ifigeniafokas', 0.058823529411764705), ('citrusandcedars', 0.058823529411764705), ('liviahengel', 0.058823529411764705), ('klaudiawasiela', 0.058823529411764705), ('meryledavis', 0.058823529411764705), ('itsmeitsmiri', 0.058823529411764705)
7	2	('rozekuwait', 0.16666666666666666), ('malama_boutique', 0.058823529411764705)
8	30	('pkpratt', 0.11764705882352941), ('manuelavernaccini', 0.11764705882352941), ('julianebailey', 0.11764705882352941), ('erikageara', 0.11764705882352941), ('tuttobelloamore', 0.11764705882352941), ('yogabarn', 0.11764705882352941), ('oliviajoffrey', 0.11764705882352941), ('ciaoamalfi', 0.1111111111111111), ('martihawkins', 0.08333333333333333), ('ferodeurbina', 0.058823529411764705), ('santhosh_retreats', 0.058823529411764705), ('carlypaiker_jewellery', 0.058823529411764705), ('azzurraceramica', 0.058823529411764705), ('donnagirl75', 0.058823529411764705), ('noelle_hilario', 0.058823529411764705), ('monicamahoney', 0.058823529411764705), ('champagnedetours', 0.058823529411764705), ('kimmcsweeney52', 0.058823529411764705), ('gday_la', 0.058823529411764705), ('mariska_doevelaar', 0.058823529411764705), ('trevorbornmd', 0.058823529411764705), ('daniwriter', 0.058823529411764705), ('melissa_mastro91', 0.058823529411764705), ('theahavlin', 0.058823529411764705), ('katherine_wilson74', 0.058823529411764705), ('escapesatolivesandvines', 0.058823529411764705), ('kate__middleton__', 0.058823529411764705), ('evybandeca', 0.058823529411764705), ('libbyblakey', 0.058823529411764705), ('kate_dunn_primel', 0.058823529411764705)
10	17	('katherine_wilson74', 0.35294117647058826), ('juan.c.ortiz.948', 0.3333333333333333), ('kgwriter', 0.29411764705882354), ('bellinitravel', 0.23529411764705882), ('msrebeccaw', 0.17647058823529413), ('mmaren', 0.17647058823529413), ('jessiepbraun', 0.11764705882352941), ('theahavlin', 0.058823529411764705), ('meryledavis', 0.058823529411764705), ('paulaminhos', 0.058823529411764705), ('yourgirlleonie', 0.058823529411764705), ('mooremelissa56', 0.058823529411764705), ('oscarhumphries', 0.058823529411764705), ('carolinekinsolving', 0.058823529411764705), ('ann4lisa', 0.058823529411764705), ('bo_chirathivat', 0.058823529411764705), ('poojithaou', 0.058823529411764705)
11	3	('lesdupondt', 0.1), ('julianarudell', 0.07142857142857142), ('roxyinthecity', 0.058823529411764705)
12	4	('antigonidanou', 0.058823529411764705), ('catherine.stern', 0.058823529411764705), ('mgluckypig', 0.058823529411764705), ('kimmcsweeney52', 0.058823529411764705)
13	1	('eclair132', 0.058823529411764705)
15	10	('idconceptstores', 0.29411764705882354), ('mrfrankbaraan', 0.11764705882352941), ('gianluca_widmer_photo', 0.058823529411764705), ('saveriasquarzoni', 0.058823529411764705), ('weardiversity', 0.058823529411764705), ('riccio_italy', 0.058823529411764705), ('onmyheelssite', 0.058823529411764705), ('sandandseaclub', 0.058823529411764705), ('sonia_miller30', 0.058823529411764705), ('juliaroseandcompany', 0.058823529411764705)
16	4	('lidiacortinakarras', 0.058823529411764705), ('vonbehnke', 0.058823529411764705), ('flightfeathers', 0.058823529411764705), ('susieshein', 0.058823529411764705)
18	8	('wearwenotme', 0.125), ('imagesbyruss', 0.058823529411764705), ('allie_clay', 0.058823529411764705), ('pineapplesandlove', 0.058823529411764705), ('courtneykennedyshop', 0.058823529411764705), ('starphotographic', 0.058823529411764705), ('vasiliki_tsantila', 0.058823529411764705), ('olinbarnes', 0.058823529411764705)
