n_cluster	dim	hashtags
-1	2773	/
0	5916	/
1	15	skin,freckles,eyebrows,wethair,narsissist,texturedhair,lorealpro,skinnourishment,sleekhair,vogueenchile,neutralmakeup,straighthair,fashionstory,mundovogue,macpro
2	15	dessert,bufala,healthychoices,gastronomia,jamieoliverrecipes,FlorenceKnight,TheDishLive,alimenta,bufalodourado,dafazendaamesa,laticinios,queijos,dafazendapramesa,mozarella,Top100
3	19	mfw,fw17,skirt,fashionbuyer,ashowroom,curate8,ashowroominparis,fordesignersbydesigners,lifeoutsidefashion,buyersclub,lifeoutsideoffashion,ashowroomparis,firstweekofmarch,robwilsonwork,NYFWM,emergingtalent,accessorybuyer,fashionpress,michelepalazzo
4	25	colourpop,stunning,chelsea,ontrend,cashmere,newin,boutiquefashion,lewesshopping,hawkhurst,kentshopping,independentboutique,cordeliajames,eastsussex,boutiqueshopping,aw17,rye,visitrye,kent,newseason,kingsroad,standout,luxestyle,fashiondiva,makeanentrance,wardrobeessential
5	17	MYN,SocialMedia,Digital,Branding,Development,DigitalMarketing,DigitalAdvertising,Strategy,Ecommerce,Analytics,BrandAwareness,Marketing,Connecting,Data,Reputation,Loyalty,Google
6	19	empowerment,ThanksToYou,WomenMakeHistory,ToBeConfident,WomensHistoryMonth,whm,empower,StrongWomen,FemaleEmpowerment,ToBeFemale,WomenEmpowered,Confidence,Strength,Courage,LoveYourself,womanempowerment,confidence,JSR,Sirenland2017
7	16	Edths,mixedart,artconcept,edths,iflowers,metaphysicalimage,quantumfield,detoxyourbrain,thefashionablelampoon,artribune,flowermood,splendidflowers,naturefashion,abstractphotography,flowerfashion,notonlycashmere
8	15	vintageshop,midcentury,etsy,etsyshop,etsysellersofinstagram,etsyseller,merrilyverilyvintage,etsyfinds,etsyvintage,vintagekitchen,verilyvintageclothes,etsyelite,gotvintage,etsyhunter,vintageforsale
9	11	monochrome,nomad,madeinindia,slowlife,slowfood,slowliving,tablelinen,nomad97india,nomadindia,indiandesign,indianlifestyle
10	15	goodlife,instadesign,malibu,meditation,traveldiary,yogaretreat,yogaeveryday,fiesole,mindfulness,expatlife,expat,yogaeverywhere,lessisamore,yogadestinations,tuscanypeople
11	52	bride,casamento,emotion,dailyart,style818,weddingplanner,brides,weddingmakeup,partecipazionimatrimonio,wedddingplanner,weddding,partecipazioniscritteamano,partecipazionipersonalizzate,partecipazionidipinte,invitiscrittiamano,cartamalfi,angelinapezone,Lecreazionidiangelina,bomboniere,oggettistica,regalipersonalizzati,bombonierepersonalizzate,lartediangelina,lineepersonalizzate,vestido,cerimonialistafeliz,cerimonial,assessoradenoivas,cerimonialista,jaquelinebarretocerimonial,miniwedding,errejota,assessoria,instabride,noiva,noivas,organizacaodeeventos,jaquelinebarretoweddingplanner,organizacaodecasamento,jaquelinebarretocerimonialista,bridalmakeup,estilo,inspira,imagem,trendalert,robe,boda,evento,novia,assessoriadeeventos,makeupbyaligunn,yogawithali
12	23	countrylife,cheflife,daylesford,chefslife,mangiarebene,chefs,cucinare,chefstalk,localfood,localfoodcommunity,lakehousedaylesford,ourfrontyard,lovewherewelive,wandervictoria,dmpharvest,makeitdelicious,produceawards,restaurantaustralia,bookingcom,rembrandtplein,cucinasana,cuoca,cibosano
13	15	goldplated,jewelrydesign,jewelryoftheday,armparty,braceletstacks,resortjewelry,resort17,instajewelry,antoniakarra,goldplatedsilver,armstack,gemmology,gemology,titopedrini,titopedrinijewellery
14	17	Australia,Weekends,SaltWater,Relax,SurfsUp,SurferGirl,BeachBum,SaltCult,Shellharbour,Mermaiding,Holidays,TartufoTales,TartufoAmor,FotoBH,EdenRoc,JackieO,Le55
15	23	princess,womensupportingwomen,ladyboss,poetrycommunity,disney,empath,lawofattraction,soulful,spiritual,writerscommunity,disneyprincess,flowerchild,spilledink,prose,poetess,ashcebulka,momboss,momprenuer,lifestyleconsultant,lifestylecoach,aimtrue,passionatelyrising,womenscoach
16	15	shoulderbags,GUCCI,boutiques,BVLGARI,preowned,Louisvuitton,LV,PRADA,COACH,BottegaVeneta,forsale,instasale,instacloset,clothesforsale,usedtokyo
17	12	intimates,modapraia,tessuti,maillotdebain,lycra,trajesdeba,bademode,tessile,MarediModa,dynamicattitude,tecidos,maredimoda
18	17	tmagazine,departuresmag,UNESCO,kenwoodcountryclub,igerscincinnati,cincyusa,igersusa,cincinnatimagazine,throughmyiphone,cheflifemagazine,wsjoffduty,storiesofmylife,igcincy,chefsofinstagram,saveurmag,nytimesfood,spglife
19	16	everydayegypt,everydaycairo,EgyptPixles,everydaymiddleeast,everydayafrica,everydayeverywhere,mobilphotography,myegypt,egyptianstreets,thisegypt,checkoutegypt,natgeohube,socialenvy,kemetspirit,featuremeinstagood,cleancaptures
20	15	dreambig,newtonrunning,ironmantraining,gozwift,garminFenix5S,IMlife,imfam,womenforTri,womenwhorun,runlikeagirl,determination,itistough,backtotraining,getFit,getStrong
21	15	sound,listen,appreciation,poetryofinstagram,alignment,frequencyofmiracles,soundweaving,everythingwedoisprayer,poetrymedicine,soundhealer,utahisrad,everythingisvibration,wordsthatbreathe,readytobeready,deeplowhum
22	15	lovelife,freeride,roamtheplanet,tignes,liveskirepeat,weliveskiing,noplacetoofar,highqualityprovider,mountainsarecalling,protectourplayground,rideyourtime,skiholidays,freeski,skiinstructor,bestjob
23	15	gayboy,venezolanosenelexterior,gaymen,gayguys,homo,gayireland,instagay,gayguy,musclegayman,gaylike,cutegay,gaycute,gayfollow,gaykik,harmonyoftheseas
24	15	Bride,Gift,Jewelry,Gold,Accessories,Glamour,EngagementRing,Antique,Platinum,Happiness,Boutiques,Shoppingaddict,Armcandy,Dressedup,Shoppingtime
25	17	party,amigas,atope,summerinpuglia,easterinpuglia,halftermholidays,monina,toptop,tenladisciplinadeserfeliz,ladys,teadoro,ide,moninas,bolinga,solonosquedacomer,lopasamosbarbaro,villagatitos
26	16	highlight,makeupartist,mua,lashlift,lashes,modelrocklashes,eclipsetheessentialspa,wakeupandmakeup,noedits,napoleonperdiscosmetics,contour,beautytherapist,napoleonperdis,skingoals,makeupdaily,weddingready
27	15	designspiration,losalcazares,differentype,typedaily,thedailytype,typegang,letteringdesign,typematters,typespire,goodtype,calligrytype,ilovetypography,typoholic,typetopia,letteringart
28	15	bridgehampton,sagaponack,hamptonstyle,hamptonslife,hamptonshome,hamptonchic,wainscott,shophamptons,thayershome,thayersstyle,thayers,thayersbh,hamptonscontemporary,thayersbridgehampton,thayershardware
29	17	likeforashoutout,likefortags,likeforlikeback,likeforafollow,likeforfollowers,likeforme,likeforcomment,likefortag,likeforashoutoutback,likeforfollows,likeforliketeam,likeforelike,likeforfollowback,likeforfun,likeforshoutouts,like4likes,like4shoutout
