id_cluster	dim	hashtags
0	1089	la,vanityfair,sunday,vinyl,bergdorfgoodman,french,christiandior,cali,ivy,procida,feelgood,tradizione,dusk,movies,positivevibes,saturday,iloveny,sailing,lifewithkids,mountain
1	362	costieraamalfitana,ligalli,viewtodiefor,biancabarterrace,neve,positanolightsymphony,gdminformaticafoto,capri,amalficoastlovers,melontime,villacimbrone,casafioravantepositano,ducati,laurito,gegeapicella,costiera,amalfi,positanophototour,lascogliera,springiscoming
2	208	travelinfluencer,travelcharacter,travelingtheworld,travelguides,luxuryworldtraveler,traveltime,beautifuldestinations,bbctravel,voyageursdumonde,adventures,lovelyplanet,igmasters,natgeotravel,letsgoeverywhere,doyoutravel,cntraveler,theglobewanderer,travellover,welltravelled,homestayHQ
3	579	landscape,travellers,travellife,windyday,destiny,refugees,mondarytravels,vesuvius,lonelyplanet,nytimestravel,frenchriviera,jump,travelstagram,relaxation,isolabella,lhw,springday,travels,view,travelphotography
4	377	hpmkt,interior,neutralpalette,modernist,culturale,ki,culture,commercialdesign,dresstoroompairings,archilovers,parisianinteriors,wednesdaywisdom,ashleymoosinteriors,dlntravelsitaly,patina,hospitality,sergemouille,blush,interiordecoration,architects
5	488	vancouver,printemps,goldenhour,children,aixenprovence,rescuedogs,stories,february,market,halloween,jadore,dimanche,diorexhibition,eidmubarak,bekind,marais,dogsitting,yxe,standardpoodle,bee
6	418	woods,yasss,westvillage,summerinthecity,eastriver,centralpark,manhattan,montana,flowerarrangement,strongnotskinny,silly,lovemyfriends,fieldtrip,newyorkcity,umbria,pizzanapoletana,prototype,review,blueskies,landscapearchitecture
7	366	talea,beautifulplace,masseria,taleaagency,amour,foodies,el,foodpics,lovequotes,foodstagram,bakery,masseriapotenti,gracias,paramiparasiempre,book,onemoretime,mediterraneansea,langosteria,igliguria,food
8	573	brave,friday,happyeaster,lakecomo,cigar,bestdadever,sealife,watermelon,reddress,hugoboss,tx,sundaymorning,Mauritius,londoner,tiff2017,Sunday,naturaleza,lobster,dad,tiff
9	333	beunique,foundinrome,ponzaforever,fattoinitalia,bellaroma,oneofthekind,designedinitaly,accessorize,argento925,calacorallo,vitadaisolana,coastallife,ViBiFamily,italymyhappyplace,elegant,biennalearte2017,gioielli,shoppinginvenice,handmadewithcare,silver925
10	171	volvomoment,porsche718,volvogreece,Greece,porschemacan,volvo,porschehellas,Grikosbay,patmosaktishotel,visitgreece,aegean,patmosaktissuites,porsche,Patmos,eres,patmos,sithonia,mitoswimwear,symmetry,boutiquehotels
11	519	bodylove,villarufolo,bassanodelgrappa,braids,village,dreamer,lagunabeach,savethedate,gbeevents,friend,watercolor,lessismore,fragrance,shootlife,sparkling,salon,studiolife,mum,haftasonu,luxuryboutique
12	433	lotd,woodblockprinting,tarz,tasarim,alacati,bohogirl,bohemian,strawhats,craftmanship,scarf,cesme,hats,evileye,summercollection,imarmottinigoestothebeach,interiorblogger,Lbardi,beachhat,madeinitaly,bestgift
