n_cluster	dim	hashtags
0	12	gxgcollective,australianbrand,australianlabel,lifestylebrand,australianjewellery,bloggerstyle,onlineshopping,buffalohorn,luxejewelry,travelaccessories,shopitnow,fashionaccessories
1	13	winetime,winetasting,orlando,winery,winebar,orlandoflorida,miaminights,winelover,winelovers,orlandofood,billycohen,wineroom,hamilton
2	10	europa,fashionstylist,aloha,italiana,abroad,viaje,pollyontheglobe,pollydiaries,pollyporelmundo,italyphotography
3	11	fashionshoot,instafollow,photograph,iphone7,producers,photomafia,producer,producerlife,fashionproduction,fashionproducer,photoaddiction
4	13	skin,freckles,eyebrows,wethair,texturedhair,lorealpro,skinnourishment,sleekhair,vogueenchile,straighthair,fashionstory,mundovogue,macpro
5	13	interiorinspo,interiordecor,interiorismo,interiores,interiorideas,decora,decoracao,decoracion,beautytips,decore,homeinspo,decortips,decoratingideas
6	10	sleeptight,bonnenuit,gutenacht,goodnightworld,iyigecelerherkese,goodnighteveryone,iyigeceler,gotobed,ilovesleep,goodnightfolks
7	17	MYN,SocialMedia,Digital,Branding,Development,DigitalMarketing,DigitalAdvertising,Strategy,Ecommerce,Analytics,BrandAwareness,Marketing,Connecting,Data,Reputation,Loyalty,Google
8	12	Creativity,curtains,Colori,Ethnic,Creativit,Apparel,Heritage,Tradition,Donna,Cultura,Collection,promo
9	14	hardwork,colore,addicted,handmadeisbetter,filo,instacrochet,supporthandmade,uncinettomania,coloredwork,lovework,malen1916,instahandmade,uncinetto,lovecrochet
10	14	empowerment,ToBeConfident,WomensHistoryMonth,whm,StrongWomen,FemaleEmpowerment,ToBeFemale,WomenEmpowered,Confidence,Strength,Courage,LoveYourself,womanempowerment,confidence
11	12	urbanstyle,preppy,urbanfashion,fashionmen,menlook,soypreppy,basicstyle,outfitday,dapperlook,dapperguy,modahombre,zaraadict
12	10	nice,montecarlo,barcelona,pasadena,parisjetaime,Istanbul,glendale,coupe,montrose,studiocity
13	14	Edths,mixedart,artconcept,edths,iflowers,metaphysicalimage,quantumfield,detoxyourbrain,thefashionablelampoon,artribune,flowermood,naturefashion,abstractphotography,notonlycashmere
14	13	mandorle,costallife,linenlove,australiafashion,brunswickheads,wholesaleclothing,lifeinstyle,plussizefashion,federicabiancodisansecondo,wintercollection,imarmottini,availableonline,imarmottinigoestothebeach
15	21	waterproof,clothes,swimsuits,newbrand,clothing,cotone,britishfashion,spottedinsassi,swimweardesigner,sassiswim,sassimuse,luxeswim,bikinis,italianbrand,cotonemadeinitaly,abiti,abitilunghi,colorblock,ischiaisolaverde,italianblogger,miamigirls
16	11	perspective,street,lines,buildings,cities,town,lookingup,archidaily,geometry,architectureporn,geometric
17	10	towel,allnatural,luxurytowels,beachtowel,throw,turkishtowels,bathtowel,turkishtowel,luxurythrows,turkishthrows
18	10	Baldinini,ultracard,baldininishoes,baldininitrend,baldininiitaly,baldinini,GUESS,LiveInLevis,denimaddicted,LoveGUESS
19	17	menstyleguide,mensfashionpost,menwithstreetstyle,styleoftheday,mensfashionblog,menwithclass,farukshehu,gabbiaccimilano,gabbiacci,skopje,farukshehuphotography,oldbazaarskopje,menslook,menwith,themanity,styleformen,mensfashions
20	10	healthyeating,coconutyogurt,foodshare,whatveganseat,dairyfreedom,foodenvy,foodinspiration,healthyfoodporn,vegansofig,eatfresh
21	12	bohobaby,organickids,lmbdw,mumswithcameras,ecobaby,tribaldreaming,plantdye,loveyourmother,ethicalbrand,organickidswear,freeshippingaus,oceanchild
22	11	travelideas,visualsoflife,weddingabroad,lilianmills,romanticescapes,surroundmewithwater,honeymoonideas,weareengaged,letsgetmarried,southernbride,instacreativechallenge
23	10	listen,appreciation,poetryofinstagram,alignment,everythingwedoisprayer,poetrymedicine,soundhealer,utahisrad,everythingisvibration,deeplowhum
24	11	team,great,tv,exquisite,epirus,epirusgreece,ioannina,ioanninaout,grosia,ae,ioanninacity
