source,target,weight
martaferrari9008,9,0.00354609929078
rsersale,0,0.00625
charr114,10,0.0243055555556
charr114,0,0.0203125
charr114,16,0.0014880952381
catespin,0,0.0115384615385
catespin,8,0.010989010989
gianluca_widmer_photo,1,0.0385561936013
gianluca_widmer_photo,2,0.021770682148
therakerussia,17,0.0188087774295
therakerussia,14,0.00191570881226
therakerussia,8,0.00164203612479
daragh07,6,0.0025641025641
daragh07,9,0.000354609929078
shopofficialboutique,5,0.0416666666667
shopofficialboutique,1,0.0217391304348
gavla_van,4,0.00595238095238
byjada,6,0.000827129859388
byjada,0,0.000537634408602
falierosarti,12,0.00663523659857
falierosarti,5,0.00133868808568
falierosarti,0,0.00120481927711
carolineberesforddesign,0,0.0207112970711
carolineberesforddesign,9,0.0101486691
carolineberesforddesign,8,0.00478182904961
risalitigianni,3,0.0208333333333
elenareich_interiors,0,0.00583333333333
elenareich_interiors,9,0.00372340425532
elenareich_interiors,8,0.00238095238095
divinasecrets,3,0.0100279850746
divinasecrets,0,0.00242537313433
divinasecrets,5,0.000310945273632
mjgiuls,0,0.00752212389381
mjgiuls,12,0.00115429011158
mjgiuls,14,0.00110619469027
shopsamdupont,8,0.0238095238095
shopsamdupont,6,0.0128205128205
shopsamdupont,0,0.00833333333333
katelurie,0,0.00407407407407
katelurie,9,0.00323089046493
katelurie,8,0.0010582010582
laotsesmy,0,0.00869565217391
laotsesmy,12,0.00189035916824
laotsesmy,14,0.0018115942029
fanis_sim,0,0.0220588235294
fanis_sim,10,0.0179738562092
fanis_sim,18,0.0147058823529
rosepassionblog,0,0.00775862068966
rosepassionblog,3,0.00538793103448
rosepassionblog,12,0.00524737631184
labandco,0,0.00402684563758
labandco,8,0.00287631831256
labandco,13,0.00223713646532
luxuryhomes_lifestyle,15,0.569477326534
luxuryhomes_lifestyle,18,0.00259515570934
luxuryhomes_lifestyle,14,0.00173010380623
ciaoamalfi,3,0.0546875
ciaoamalfi,12,0.0217391304348
martimaran,20,0.00225225225225
martimaran,14,0.00112612612613
ounass,2,0.00187422737967
ounass,1,0.000608560416526
ounass,0,0.00054432348367
mitoswimwear,0,0.00144927536232
mitoswimwear,14,0.000805152979066
mitoswimwear,2,0.000247739378174
heawood,9,0.00354609929078
carlyhome,0,0.027358490566
carlyhome,11,0.0188679245283
carlyhome,17,0.0171526586621
imagesbyruss,0,0.02
imagesbyruss,10,0.000925925925926
antocirina,0,0.015
cdg_cgn_nrt,1,0.0074659639877
cdg_cgn_nrt,8,0.00577200577201
cdg_cgn_nrt,0,0.00252525252525
jp_boutique_amalfi,3,0.665
jp_boutique_amalfi,5,0.0133333333333
jp_boutique_amalfi,0,0.006
bettinacarpentieri,0,0.0229452054795
bettinacarpentieri,9,0.00327892742641
bettinacarpentieri,2,0.00263435194942
clau_she,1,0.0116877045348
clau_she,10,0.00418160095579
clau_she,20,0.00358422939068
gpapage71,4,0.0357142857143
ddferg,0,0.0125
panamahattersangels,5,0.0621468926554
panamahattersangels,17,0.0477657935285
panamahattersangels,0,0.0220338983051
lestudiobleu,17,0.112648221344
lestudiobleu,0,0.00652173913043
lestudiobleu,13,0.0024154589372
wayuuworld,1,0.288277380297
wayuuworld,0,0.00180379746835
wayuuworld,5,0.00174050632911
elena_fe,10,0.0122807017544
elena_fe,0,0.01
elena_fe,3,0.00723684210526
costanza_co.ro.jewels,3,0.0087890625
costanza_co.ro.jewels,0,0.00703125
costanza_co.ro.jewels,2,0.00360576923077
magamaison,9,0.00950656405613
magamaison,0,0.00744680851064
magamaison,14,0.00265957446809
kathryniveyinteriors,0,0.00736434108527
kathryniveyinteriors,11,0.0031007751938
kathryniveyinteriors,9,0.00214415305954
_mmmiriam,7,0.0130434782609
_mmmiriam,0,0.00108695652174
chadfab,18,0.0625
chadfab,14,0.03125
loveduck.paddington,0,0.00285714285714
mariapaolabarrotta,2,0.0598290598291
lisadavischessum,0,0.00579710144928
lisadavischessum,12,0.000630119722747
lisadavischessum,4,0.000517598343685
elisaveta_gv,10,0.015873015873
elisaveta_gv,3,0.0111607142857
elisaveta_gv,12,0.0108695652174
romichu90,6,0.00213675213675
romichu90,3,0.000578703703704
romichu90,4,0.000330687830688
fabiana_rispoli,3,0.0736856823266
fabiana_rispoli,0,0.0149888143177
fabiana_rispoli,6,0.00843228360007
alinamalina26,3,0.015261627907
alinamalina26,0,0.00290697674419
alinamalina26,12,0.00151668351871
daniwriter,12,0.0139423958907
daniwriter,3,0.00395569620253
daniwriter,0,0.00042194092827
katherine_wilson74,0,0.006
katherine_wilson74,3,0.005
katherine_wilson74,12,0.00347826086957
cabanalife,0,0.00209677419355
cabanalife,5,0.00188172043011
cabanalife,6,0.000992555831266
martihawkins,12,0.00869565217391
allisonspeerpr,0,0.00128205128205
allisonspeerpr,8,0.001221001221
allisonspeerpr,10,0.000949667616334
lwfabulouswardrobe,12,0.0434782608696
agapisbokou,18,0.030612244898
agapisbokou,0,0.00204081632653
agapisbokou,10,0.00113378684807
eastovercollection,0,0.0025641025641
eastovercollection,9,0.00190943807965
treasureofthesirens,2,0.0781196581197
treasureofthesirens,8,0.00857142857143
treasureofthesirens,5,0.00722222222222
gday_la,0,0.00526315789474
gday_la,12,0.00381388253242
gday_la,1,0.00228832951945
crown_rising,12,0.0286186020914
crown_rising,0,0.00253164556962
crown_rising,16,0.00180831826401
specchiodivenerevenice,2,0.0153019023987
specchiodivenerevenice,5,0.00940860215054
specchiodivenerevenice,15,0.00933786078098
lidiacortinakarras,0,0.00434782608696
lidiacortinakarras,14,0.0018115942029
lidiacortinakarras,2,0.00111482720178
semaine_online,0,0.00778078484438
semaine_online,6,0.00333090454877
semaine_online,2,0.00166545227438
danifiore89,3,0.0945512820513
danifiore89,0,0.0115384615385
danifiore89,13,0.002849002849
lesdupondt,0,0.01
paulasanexplorer,20,0.00406504065041
paulasanexplorer,2,0.00125078173859
paulasanexplorer,0,0.00121951219512
gdm.informatica.foto,3,0.0892857142857
gdm.informatica.foto,0,0.0107142857143
gdm.informatica.foto,18,0.00297619047619
aidacecchetti,12,0.0018115942029
giolanocita,0,0.0192307692308
giolanocita,14,0.00705128205128
giolanocita,17,0.0013986013986
pumopugliese,2,0.025641025641
framel88,3,0.0262096774194
framel88,12,0.0070126227209
framel88,0,0.00322580645161
internodiciotto,0,0.0133245382586
internodiciotto,1,0.00458873465642
internodiciotto,2,0.00290914011231
catdoglane,10,0.00555555555556
catdoglane,0,0.005
catdoglane,12,0.00434782608696
katiejdevine,0,0.00469798657718
katiejdevine,12,0.00466880653633
katiejdevine,3,0.00419463087248
jenkinsfamilytravels,3,0.031862745098
jenkinsfamilytravels,12,0.00170502983802
slsstyle,1,0.0121334681496
slsstyle,13,0.00516795865633
slsstyle,14,0.00484496124031
cindy.adams,6,0.0121457489879
cindy.adams,12,0.0045766590389
lug2loom,0,0.00285714285714
lug2loom,5,0.00238095238095
lug2loom,2,0.000732600732601
oliviatuffin,0,0.00287356321839
oliviatuffin,9,0.000244558571778
melrosexclusive,3,0.0424107142857
melrosexclusive,0,0.0252976190476
melrosexclusive,13,0.0119047619048
wonder_jewels_positano,2,0.0156695156695
wonder_jewels_positano,3,0.015625
wonder_jewels_positano,0,0.00277777777778
mrswim_ny,17,0.079822616408
mrswim_ny,0,0.00792682926829
mrswim_ny,1,0.00106044538706
exclusivecruises,3,0.0880681818182
exclusivecruises,14,0.00757575757576
exclusivecruises,0,0.00454545454545
k_sologub,0,0.0109243697479
k_sologub,3,0.00997899159664
k_sologub,14,0.00805322128852
lawallys,0,0.000769230769231
lawallys,7,0.000384615384615
lawallys,12,0.000167224080268
ristorantestellamaris_amalfi,3,0.0364583333333
ristorantestellamaris_amalfi,0,0.00416666666667
ristorantestellamaris_amalfi,14,0.00347222222222
malen1916,0,0.0440476190476
malen1916,8,0.0102040816327
sharonsuhfoto,6,0.00361010830325
sharonsuhfoto,3,0.00248194945848
sharonsuhfoto,19,0.00135379061372
armandomtzacevedo,6,0.111888111888
armandomtzacevedo,4,0.00974025974026
armandomtzacevedo,0,0.00454545454545
serginopiazza,3,0.0305555555556
serginopiazza,0,0.0166666666667
serginopiazza,4,0.0015873015873
thayershardware,12,0.00213827512473
thayershardware,0,0.000819672131148
thayershardware,11,0.000819672131148
sofiabroggini,14,0.00520833333333
sofiabroggini,12,0.00271739130435
sofiabroggini,9,0.000664893617021
ashowroominparis,6,0.00750469043152
ashowroominparis,2,0.00218886804253
ashowroominparis,5,0.0015243902439
veronikpli,0,0.00873655913978
veronikpli,10,0.00821385902031
veronikpli,3,0.00806451612903
latuilealoup,9,0.00679252821896
unamammaindisordine,0,0.00192307692308
unamammaindisordine,14,0.00120192307692
unamammaindisordine,12,0.000836120401338
laurenskingsley,0,0.0027397260274
laurenskingsley,3,0.00256849315068
laurenskingsley,12,0.000595592614652
focusgriffintown,2,0.0014245014245
focusgriffintown,9,0.000591016548463
fromhanqing,0,0.025
sofbarth,0,0.00428571428571
sofbarth,2,0.0021978021978
sofbarth,10,0.0015873015873
saveriasquarzoni,0,0.00357142857143
suziemajer,3,0.0101744186047
suziemajer,0,0.00523255813953
suziemajer,12,0.00151668351871
caitlinflynnramsdale,3,0.00892857142857
flyte.se,8,0.0649350649351
flyte.se,9,0.0164410058027
luigi_dls,3,0.0357142857143
luigi_dls,19,0.0178571428571
luigi_dls,10,0.00396825396825
osvebra,19,0.00657894736842
osvebra,16,0.00250626566416
sabrinapilewicz,2,0.0111022997621
sabrinapilewicz,6,0.0103092783505
sabrinapilewicz,0,0.00979381443299
hannahpemann,3,0.0342741935484
hannahpemann,0,0.00645161290323
hannahpemann,12,0.00140252454418
exploresimply,12,0.0217391304348
exploresimply,0,0.0125
exploresimply,1,0.0108695652174
crazycatlady_oslo,3,0.0416666666667
crazycatlady_oslo,12,0.0141211445559
crazycatlady_oslo,0,0.0111111111111
editapaperart,2,0.0307692307692
editapaperart,0,0.0133333333333
editapaperart,12,0.00434782608696
marie_pantaz,18,0.0568181818182
marie_pantaz,0,0.00606060606061
concordpillows,9,0.00785207700101
concordpillows,0,0.00119047619048
concordpillows,2,0.000610500610501
sachaveza,0,0.00454545454545
weardiversity,0,0.000917431192661
weardiversity,5,0.000764525993884
weardiversity,10,0.000509683995923
nizhoni.official,0,0.00503144654088
nizhoni.official,6,0.00483792936623
nizhoni.official,1,0.00410172272354
bellavventura,3,0.0882352941176
bellavventura,0,0.0132352941176
bellavventura,15,0.00206398348813
leggeranellaria,0,0.0309312638581
leggeranellaria,6,0.0163738700324
leggeranellaria,5,0.0121951219512
eauditalie_official,3,0.0104166666667
eauditalie_official,0,0.00833333333333
eauditalie_official,16,0.00793650793651
corallamaiuripersonal,3,0.00178571428571
corallamaiuripersonal,0,0.00142857142857
corallamaiuripersonal,14,0.00119047619048
riccardonavone,6,0.0860215053763
riccardonavone,0,0.00752688172043
riccardonavone,7,0.0010752688172
die_solette,1,0.0173913043478
simi_mel,0,0.00875
simi_mel,10,0.00416666666667
simi_mel,6,0.00384615384615
jenewilliams,20,0.0816666666667
lledoo1900,0,0.0134782608696
lledoo1900,12,0.00151228733459
lledoo1900,6,0.00133779264214
onefirebeach,3,0.120508982036
onefirebeach,0,0.000299401197605
ojip81,1,0.0434782608696
travelcocktail,3,0.0420321637427
travelcocktail,12,0.0122044241037
travelcocktail,14,0.010477582846
dolcevitaphotoart,15,0.175793735351
dolcevitaphotoart,14,0.0134952766532
dolcevitaphotoart,6,0.0112114606042
bo_chirathivat,6,0.0769230769231
bo_chirathivat,2,0.025641025641
bo_chirathivat,9,0.0106382978723
natalietheo,1,0.0193548387097
natalietheo,0,0.0161290322581
natalietheo,5,0.0145161290323
ranakorgul,0,0.0028901734104
ranakorgul,6,0.00266785237884
ranakorgul,13,0.00128452151574
marikasue,0,0.0166666666667
firmdale_hotels,13,0.671180555556
firmdale_hotels,9,0.0371343085106
firmdale_hotels,14,0.01484375
allie_clay,3,0.0126953125
allie_clay,14,0.005859375
allie_clay,12,0.00407608695652
joshmadans,1,0.00465838509317
joshmadans,17,0.00324675324675
joshmadans,2,0.0018315018315
marechiara,2,0.00493096646943
marechiara,3,0.00480769230769
marechiara,7,0.00384615384615
sosummy,2,0.0148237179487
sosummy,0,0.00234375
sosummy,1,0.00135869565217
biarritz_blu,0,0.000621118012422
biarritz_blu,1,0.000540102619498
moncovio24,0,0.00735294117647
juli.pissi,3,0.0284090909091
juli.pissi,14,0.0227272727273
juli.pissi,12,0.00131752305665
susanhonnell,3,0.0739910313901
susanhonnell,0,0.0112107623318
susanhonnell,19,0.00336322869955
sassiswim,14,0.00968013468013
sassiswim,6,0.004662004662
sassiswim,0,0.00454545454545
dylanrnash,17,0.272727272727
dylanrnash,2,0.00128205128205
annaguardaaltamodasposa,2,0.011655011655
annaguardaaltamodasposa,12,0.00395256916996
vibivenezia,3,0.000390625
vibivenezia,0,0.0003125
vibivenezia,9,6.64893617021e-05
abicrissy,0,0.00416666666667
dlvecchio9,6,0.00480769230769
ecuafino,0,0.0132075471698
ecuafino,8,0.00808625336927
ecuafino,14,0.00707547169811
nancycharoenledlie,16,0.00047619047619
carlosmedinagv,17,0.555681818182
carlosmedinagv,0,0.00875
carlosmedinagv,1,0.00217391304348
northern.gent,17,0.106060606061
northern.gent,0,0.0166666666667
northern.gent,9,0.00177304964539
riccio_italy,5,0.0014880952381
riccio_italy,0,0.00133928571429
riccio_italy,4,0.00031887755102
ra_ruiz,3,0.0178571428571
ra_ruiz,0,0.00714285714286
ra_ruiz,4,0.00255102040816
nomad97india,0,0.00400410677618
nomad97india,11,0.00184804928131
nomad97india,9,0.000567958407969
amalkapeninteriors,9,0.0166875260743
amalkapeninteriors,0,0.00490196078431
amalkapeninteriors,3,0.00428921568627
kerry_ddhome,8,0.0047619047619
kerry_ddhome,15,0.00175438596491
kerry_ddhome,0,0.00166666666667
anchorsandacorns,0,0.00421052631579
anchorsandacorns,7,0.00105263157895
anchorsandacorns,5,0.000877192982456
x.plora,1,0.01685891748
x.plora,0,0.00255102040816
x.plora,2,0.00156985871272
theucurve,3,0.00390625
theucurve,0,0.0015625
theucurve,1,0.00135869565217
mamaefiglia,0,0.00566037735849
mamaefiglia,14,0.00235849056604
mamaefiglia,8,0.00134770889488
simonetbianco,12,0.00200668896321
simonetbianco,0,0.00153846153846
simonetbianco,10,0.000854700854701
rozekuwait,0,0.0333333333333
hailiechoi,0,0.0025
hailiechoi,1,0.00108695652174
hailiechoi,12,0.00108695652174
andybritanny,10,0.0196905766526
